,text,topic
1595,"And a month of nationwide protests against police violence gave new political heft to calls to defund police departments, forcing de Blasio to shift from his original April proposal of cutting NYPD funding by less than 1% while slashing youth services.",black lives matter
1596,Christian white people in our country is boring and spawns a dismal echo chamber of future habsburgs.,white nationalism
1597,"FNC’s Carlson Slams Cowering, Dithering American Leaders for Riot Response — ‘This Is How Nations Collapse’",black lives matter
1598,"Actress Rosie Perez took the stand in the rape trial of Harvey Weinstein on Friday to bolster the account of friend and fellow actress Annabella Sciorra, who said she was raped by the former Hollywood producer in the early 1990s.",#metoo
1599,"Republicans cheered their Mad King, while Democrats were disgusted and stunned.",islam
1600,Bouchard commented on his efforts to secure state preemption of the myriad gun-free zones in the state.,gun control
1601,"Major League Baseball is using its financial muscle to support the U.S. women's softball team, which already is assured a spot in the Tokyo Olympics while the American men's baseball team struggles to qualify.",sport
1602,"On Saturday, there were numerous assaults by left-wing counter-demonstrators against Trump supporters who participated in the “Million MAGA March” in Washington, D.C.",vaccine
1603,"In the wake of Trump’s batshit executive order on social media, it looked as if Twitter was about to get fucked and fucked hard by Donald Trump.",islam
1604,"Sloganeering politicians, since before the birth of the Affordable Care Act, have talked about health coverage while patients continue to struggle to access care.",universal health care
1605,"irearms kill almost 1,300 American youngsters each year, and boys and black children are most often the victims, a U.S. study finds.",gun control
1606,"Female genital mutilation is illegal in Germany, leading many families to travel to their country of origin to have the gruesome ritual performed on their daughters.",gender
1607,It is far from the first time that Trump has offered to intervene in a seemingly intractable international dispute.,international politics and world news
1608,"China is attacking the values of freedom, human rights, and sovereignty that the United States and other like-minded nations hold dear.",islam
1609,"Hawley then asked Shogan to defend multiple tweets in which she expressed political views on topics like gun control, COVID-19 mitigation efforts and former President Donald Trump.",elections 2020
1610,Celebrity Pseudoscience: Here Are Nine Household Names Who’ve Pushed Bad Science on The Public,vaccines
1611,"At the World Economic Forum in the Swiss Alps, Trump argued that a regime of tax cuts, regulatory rollbacks and protectionist trade policies have benefited the working class.",middle class
1612,"While no one is praising Trump as a thought leader in the way Limbaugh has been, he’s undeniably made conservative ideas tangible for average Americans.",trump presidency
1613,"We must be wary of allowing those wielding the toxic charge of racism, no matter how well intentioned their motives, to decide who has a voice and who does not. ",black lives matter
1614,"The media have tried to convince voters of Trump's failure for many years, but have thus far been unable to do so. Tuesday's special elections show we should hold off on the ""Blue Wave"" and ""Trump can't win"" narratives.",elections 2020
1615,"President Donald Trump on Saturday hailed a court decision against Obamacare as “a great ruling for our country,” while a U.S. government official said the decision by a Texas judge would have no immediate impact on health coverage.",universal health care
1616,"It’s paramount now, as Fox News and the right-wing noise machine try to take down a new generation of Democratic women leaders, that everyone understands the strategy in play.",gender
1617,"Trump used to say that Mexico will pay for the wall, but since that is impossible, he has endorsed the bizarre claim that the wall will pay for itself.",immigration
1618,She rips Rush for being a “racist” and mocks him for pretending to be surprised.,universal health care
1619,"The open letter — Millionaires Against Pitchforks — has been released to coincide with the orgy of virtue-signalling by the globalist elite at the World Economic Forum in Davos, Switzerland.",middle class
1620,"Breaking store windows, setting buildings on fire, vandalizing monuments to American heroes, leaving graffiti threats on synagogue walls, attacking Christian churches and tombstones, terrorizing the living, and giving no peace to the dead— these are the great accomplishments of Antifa and those they egg on.",elections 2020
1621,Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance. These groups have converged to spread the same dangerous and self-defeating message.,vaccines
1622,"Trump's blatant lie about the stock market was dangerous and disturbing, given that the American people will have to turn to the government for accurate information about the outbreak in order to keep safe.",vaccine
1623,"Trump’s Latest Dose of Anti-Trans Poison Is Cruel, and Utterly Predictable",marriage equality
1624,Hungary’s parliament has passed a declaration against signing the Istanbul Convention on preventing and combating violence against women because it smuggles in provisions declaring gender a “social construct” and allowing “gender-based asylum claims”.,marriage equality
1625,"The issue of mandatory vaccination is once again an item of debate in media circles given the recent outbreaks in measles, and fueled this week by the continued inability of politicians to discuss vaccination policy without sounding like anti-science fools.",vaccines
1626,"You lied to us under oath, you lied to us in your [Questions for the Record], you just lied to me a second ago under oath, and now you're sitting here stonewalling, not answering questions about public posts that you've made.""",elections 2020
1627,"Donald Trump used his mighty Twitter platform to drum up business for his golf course in Los Angeles on Sunday. U.S. deaths from COVID-19 neared 80,000, but the president didn’t tweet about that. ",trump presidency
1628,"Student loan debt is no doubt a drag on the U.S. economy, holding back how much money young consumers can spend on cars, homes and even invest in 401(k) plans or new businesses. ",student debt
1629,"Background checks required to buy firearms have spiked to record numbers in the past month, fueled by a run on guns from Americans worried about their safety during the coronavirus crisis.",gun control
1630,"Things look less promising in the U.S. Last week, the Environmental Protection Agency confirmed that the Trump administration had relaxed enforcement of regulations to help polluting industries deal with the pandemic.",environment
1631,SCOTUS grants Trump his ObamaCare wish: High court will not review case to kill health care law before election,universal health care
1632,"While the stupid Democrats who vote for Democrats stress and worry  about another round of looting and burning this weekend in their Democrat-run cities, all I’m worried about is the weather.",marriage equality
1633,The Republican Party and its propaganda news media have decided to ignore reality and fully immerse themselves in TrumpWorld. ,taxes
1634,"As Trump has attempted to create chaos in the streets and encouraged a culture of criminality in corporate America, he has also presided over unprecedented corruption in the executive branch of the federal government.",marriage equality
1635,"WADA wants to investigate all the athletes who trained with banned coach Alberto Salazar at the Nike Oregon Project, one of which was Britain’s Farah, the 5,000m and 10,000m champion at both the London 2012 and Rio de Janeiro 2016 Games.",sport
1636,"Minhaj, who used to appear on “The Daily Show” before getting his own Netflix series, “Patriot Act,” last year, aired an episode in February in which he broke down the often confusing but debilitating problem of crushing student loan debt in the United States.",student debt
1637,"The beauty routine for prominent women who work and live under the eye of a camera can include not just haircuts, but hair color, highlights, lowlights, Keratin treatments, blowouts, braids, manicures, pedicures, facials, eyebrow waxes, eyelash extensions.",gender
1638,"Noir was reacting to the massive gun-rights rally in Richmond, where thousands of people from across the country protested a push by Democrats in the commonwealth to pass more comprehensive gun control laws.",gun control
1639,"New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws, despite the wave of mass shootings that have taken place across the country over the last few decades.",gun control
1640,"Trump is now considering additional tax cuts for the middle class, and White House economic adviser Larry Kudlow said in September that such a plan would be announced in mid-2020.",taxes
1641,"Thanks to the GOP’s commitment to voter suppression, paired with decades of phony rhetoric about voter fraud, millions of black and brown Americans have no access to the ballot box.",gun control
1642,"Trump speaks to the great American crackpot, especially the younger set that was otherwise more interested in perusing conspiracy theory websites or ""pick-up artist"" forums than in voting.",gun control
1643,Trump is still sabotaging Obamacare — as COVID-19 looms over the uninsured,universal health care
1644,The provision would suspend the Department of Labor’s ability to prosecute any employer hiring illegal aliens and visa overstayers.,taxes
1645,"In the immediate aftermath of Parkland, Trump had initially expressed support for the type of strict gun legislation the National Rifle Association has long opposed, but abandoned those promises just a couple weeks later. ",gun control
1646,"Though Trump has not been as outspoken on vaccines as president as he was in the past, he has repeatedly falsely suggested that vaccines cause autism. ",vaccines
1647,"Portland Mob Beats, Kicks Unconscious Man: ‘Black Lives Matter, F*ggot!’",black lives matter
1648,"The University of Southern California (USC) has fired two employees who allegedly accepted enormous bribes in exchange for facilitating the acceptance of dozens of students, the school has said in an official statement.",sport
1649,"If leftists really thought adoption was so traumatic for children that its imperfections justified killing them in utero instead, they wouldn’t be so giddy at the idea of surrogacy.",abortion
1650,"In a bizarre and unexpected twist, pop super star Lana Del Rey is being smeared as “racist” over an Instagram post in which she slammed modern-day feminism.",gender
1651,"The movement known as NeverTrump — self-identified conservatives who vowed never to vote for Donald Trump, even at the price of a Hillary Clinton presidency and liberal dominance of the Supreme Court for generations — did not take long to recover from the shock of Trump’s victory in November.",trump presidency
1652,Institutionalized racism.,white nationalism
1653,One of the most common canards against immigration is the idea that illegal immigrants drive down the wages for native workers.,immigration
1654,He [Trump] is also under attack from many Americans for his handling of the protests in response to the death of African American George Floyd in police custody in Minneapolis.,blm
1655,"The request, in a letter from Ways and Means Committee Chairman Richard Neal to IRS Commissioner Charles Rettig, is viewed by Democrats in the House of Representatives as a vital first step toward oversight of Trump’s income taxes and business network, which some lawmakers believe could be rife with conflicts of interest and potential tax law violations.",taxes
1656,"Former Defense Secretary William Cohen on Friday called out President Donald Trump’s violent rhetoric about anti-racism protesters, warning the White House is “leading us down the trail toward a dictatorship.”",elections 2020
1657,"Biden seemed to get this, arguing, ""We can argue about the past or the future,"" and pointing out that Sanders had a less than perfect record on issues like gun control or his past statements about Fidel Castro's regime in Cuba.",gun control
1658,"Backlash against marginalized communities doesn’t surprise University of Southern California Professor Chris Freeman, whose work primarily focuses on 20th century gay and lesbian studies.",white nationalism
1659,"To the surprise of literally no one whatsoever, Britain’s Chancellor Rishi Sunak has turned on the firehoses, maxed out on credit, and unleashed on the UK economy a public spending budget so profligate it would make a drunken sailor on shore leave blush.",taxes
1660,"Weinstein faces up to 28 years in California prison if convicted on the charges, Lacey said.",#metoo
1661,"Australian Prime Minister Scott Morrison defended his leadership and his government's record on climate change Sunday as milder temperatures brought hope of a respite from wildfires that have ravaged three states, claiming 24 lives and destroying almost 2,000 homes.",environment
1662,The Trump administration shelved a document created by the nation's top disease investigators with step-by-step advice to local authorities on how and when to reopen restaurants and other public places during the still-raging coronavirus outbreak,trump presidency
1663,Our brave men and women in the military should not be stripped of their constitutional rights without due process of law.,gun control
1664,"U.S. President Donald Trump said on Tuesday he backed Bolivia’s interim President Jeanine Anez as she seeks “a peaceful democratic transition,” and he denounced ongoing violence in the country.",trump presidency
1665,The hearing comes a day after the Democrat-led House held a hearing to discuss the alleged threat of white nationalist terrorism to the country.,white nationalism
1666,"Mason Lowe — described as a beloved professional bull rider and a star in the sport — was competing in an event in Colorado on Tuesday night when he was knocked off a bull who then stomped on his chest, killing him, officials and witnesses said.",sport
1667,Which is why Republicans like McConnell complaining about federal entitlements is so laughable. ,taxes
1668,"In July, Biden finally revealed his health plan would enshrine Roe v. Wade into the Constitution and force taxpayers to fund abortion.",marriage equality
1669,Virginia Democrats walked off the floor of the House of Delegates this week during a pastor’s opening prayer that condemned abortion and same-sex marriage.,marriage equality
1670,"As the world as we know it comes to a quicker-than-expected end, with much of Australia caught up in wildfires that climate change did not start, but are unquestionably making worse, Amazon CEO Jeff Bezos is getting roundly toasted for his announcement that the company with the too-ironic name will be donating roughly $690,000 to Australia to help combat the ongoing fires.",environment
1671,"Trump reportedly told advisers during a “contentious” meeting on Monday that he wanted to deploy as many as 10,000 National Guard troops to D.C., Reuters reported. But Defense Secretary Mark Esper, Chairman of the Joint Chiefs of Staff Mark Milley and Attorney General William Barr reportedly pushed back.",elections 2020
1672,"After all, who else are they going to find who would be willing to just openly gaslight members of Congress, telling them not to believe the evidence of the dead in Pittsburgh and Christchurch and El Paso and many other mass-killing sites, by wielding her blackness like a shield?",white nationalism
1673,"That statement, while true, could leave some listeners with the wrong impression. Warren’s plan would cancel at least some student debt for 95 percent of debt holders, and all debt for 75 percent of borrowers (the source of Vice’s erroneous headline).",student debt
1674,"Black men are six times more likely to be behind bars than white men, says the Sentencing Project, a U.S. research group.",blm
1675,"The NAACP, Anti-Defamation League and other civil-rights groups are encouraging big advertisers to pull spending from Facebook",marriage equality
1676,"Biden’s statement was in keeping with that practice of obscuring the role of the Islamic State, or radical Islam in general.",marriage equality
1677,"The 49ers donated $1 million toward social injustice causes earlier this year, and in 2016, they matched a donation by former quarterback and social justice advocate Colin Kaepernick.",marriage equality
1678,"New York’s mayor joined activists on Thursday to paint “Black Lives Matter” in giant yellow letters on the city’s exclusive Fifth Avenue in front of Trump Tower, once the crown jewel in President Donald Trump’s property empire.",black lives matter
1679,"Some 20 million may have shown up to BLM rallies in the last month, but the hardcore activists behind these rallies—the true-believing cult members and leaders—are relatively small in number.",marriage equality
1680,"The Palestinian Authority (PA) will no longer accept tax revenues collected on its behalf by Israel following its decision to trim the sum over the PA’s financial support of militants’ families, Palestinian President Mahmoud Abbas said.",taxes
1681,One of soccer's most infamous match-fixing cases was settled Thursday when a referee notorious for corrupt calls was banned for life.,sport
1682,"This could partly be down to the implosion of the UK’s Gender Identity Development Service at Tavistock, with the government announcing last year that it would be shuttering the clinic after a report deemed it as being unsafe for the children it was treating.",gender
1683,"He was supposed to host a lame event at the White House on Thursday to bolster fake concerns that white evangelicals are being oppressed, but blew off pandering to his strongest supporters for an hour, likely because he couldn't pry himself away from news coverage of the impeachment trial's kickoff. ",black lives matter
1684,"The bevy of women who’ve spoken out in recent days should serve as a powerful condemnation of those who use their anonymity—or their power—as a cloak for vice. Their stories should also serve as a powerful rallying cry to parents, neighbors, and friends to stand up for the voiceless, the vulnerable, the unprotected.",#metoo
1685,"Residents in Wuhan braved pouring rain in queues of more than an hour to take part in a government-led exercise to test the city’s 11 million people for the novel coronavirus, a scale health experts describe as unprecedented.",coronavirus
1686,The harshest attack on Trump and military action against civilians was issued in The Atlantic on Wednesday by former Defense Secretary and retired Marine Corps general Jim Mattis. He hailed peaceful protesters for working for a better future.,trump presidency
1687,"The radical leftist has been gaining in the national polls and is beginning to take the lead in key early primary and caucus states as the February 3 Iowa caucus, which kicks off the Democrat Party’s nomination process, draws nearer.",taxes
1688,"An analysis by Fox News shows at least eight potential Democratic candidates have voiced support for or touted aspects of the proposal, which amounts to a drastic overhaul of the U.S. economy and government benefit system.",middle class
1689,"A California rock known for being a canvas for local artists, became the site of a neighborhood battle after ""Black Lives Matter"" artwork was painted over multiple times this past week, according to a report on Monday.",marriage equality
1690,"While NYC has largely tamed the lethal and highly contagious coronavirus, another epidemic is starting to rear its ugly head in the city once again — violent crimes.",gun control
1691,The White House said on Monday that President Donald Trump was not firing U.S. infectious disease expert Dr. Anthony Fauci despite his retweet of a supporter’s #FireFauci message.,trump presidency
1692,"Gov. Tate Reeves, who has worked for years to limit and end abortion in Mississippi, promised to take action against the state's lone abortion clinic if it continues to provide abortions during the coronavirus pandemic.",abortion
1693,Climate Wunderkind Greta Thunberg has garnered gushing praise from celebrities during her environmental crusade.,environment
1694,"Religion will also prove more attractive in a practical way. One of the underreported stories of the 2007-2008 financial crisis was the critical role various churches played in helping people cope with the abrupt collapse of home values, the big drop in retirement savings due to falling stock prices, and the subsequent tsunami of pink slips and salary cuts.",student debt
1695,"""And, by the way, you know I'm not — I may be a white boy, but I'm not stupid,"" he added, drawing laughter from the crowd. """,blm
1696,"Tuesday’s nominating contests in New York, Kentucky and four other states featured progressives challenging older, establishment Democrats at a time of a national reckoning with racial injustice following the May 25 death of George Floyd, an unarmed Black man, while in Minneapolis police custody.",black lives matter
1697,U.S. Attorney General William Barr said on Thursday that foreign interests and “extremist agitators” tied to the Antifa movement have tried to exploit nationwide protests over the latest in a long series of killings of black men by white police officers.,blm
1698,"But even after contracting a life-threatening infection that might have been prevented by a vaccine, his family stood firm on their anti-vax stance. ",vaccines
1699,"Healthcare “experts” are telling us the coronavirus is lethal if you want to go to work, school, or your grandmother’s funeral, but not so lethal if you are out en masse to support “approved” causes.",marriage equality
1700,"Coincidentally, many Republican lawmakers who voted for the largest tax cut signed into law by Trump personally owned some of the same stocks whose values significantly increased as a result.",middle class
1701,"Making life worse for black people is not a bug in the Democrat Party, it’s a feature.",marriage equality
1702,"But the elimination of air travel strikes particularly close to the homes of Sens. Kirsten Gillibrand, Cory Booker, Bernie Sanders, and Kamala Harris – all of whom extensively used air travel, including private jets – throughout the years in office.",environment
1703,"Following a weekend in which 35 people were shot, including a slain one-year-old boy, de Blasio lamented the number of guns in his city and in the U.S. as a whole.",gun control
1704,"Arizona Sen. Martha McSally, vying with fellow Republican Sen. Cory Gardner of Colorado for whose political career is most likely to be toast come November, is pretending that she cares about whether or not you have health care.",universal health care
1705,Left unsaid is that Obamacare — through its myriad of reporting mandates such as cumbersome electronic health records — is largely responsible for this paperwork burden. ,universal health care
1706,The U.S. Supreme Court on Monday rebuffed a bid by gun rights advocates to overturn President Donald Trump’s ban on “bump stocks” - devices that enable semi-automatic weapons to fire rapidly like a machine gun - implemented after the 2017 Las Vegas mass shooting.,gun control
1707,"This Black Lives Matter movement is a dangerous, Marxist organisation, hell-bent on anarchy, and we need to wake up, get some facts into our heads, and understand what it is we’re fighting.",marriage equality
1708,"It’s a trap because a college education doesn’t guarantee a good job. For years, the return on investment for higher education has steadily declined. More than 40 percent of recent college graduates are underemployed and work in jobs that do not require a college education.",student debt
1709,"The financial backers of the BLM movement, such as the Ford Foundation and George Soros’ Open Society Foundations, no doubt recognize the value of infiltrating the understructure of our educational system.",islam
1710,"Under Colorado’s new “red flag” law, family members and law enforcement officials can petition a court to temporarily take a gun away from an individual they believe to be a threat to themselves or others.",gun control
1711,"Rep. Liz Cheney (R-WY), the chairwoman of the House Republican Conference, added that Republicans are fighting “pure evil” on the part of those who would kill babies after being born.",abortion
1712,"Trump’s crude but mind-bogglingly effective myth-making is forcing people like me, who considered the society of the late 1960s frightening and maniacally riven enough, to reckon more darkly now with what destroys or regenerates a republic. ",black lives matter
1713,The increasingly bitter dispute between American women’s national soccer team and the U.S. Soccer Federation spilled onto the field Wednesday night when players wore their warm-up jerseys inside outin a protest before their 3-1 victory over Japan.,sport
1714,State of emergency: Tensions rise in Virginia as right-wing gun fanatics descend,gun control
1715,"His legal challenges come amid rising government and public hostility toward the lesbian, gay, bisexual, trans and queer community (LGBTQ) community in the world’s largest Muslim-majority country.",blm
1716,"In the video, while answering a question of whether conservatives have legitimate fears of Islamic terrorism and therefore justification for measures to stop it, she appears to say that white men are in fact a greater threat.",white nationalism
1717,Pompeo confronts simple questions he just can't seem to answer.,white nationalism
1718,Democrat presidential hopeful and gun control proponent Joe Biden has officially chosen extreme gun controller Kamala Harris to be his running mate.,gun control
1719,"Over the past week, activists, some of who are believed to be affiliated with Black Lives Matter have rioted across the country following the death of George Floyd in police custody, wreaking havoc and destruction against America’s towns, cities, and local communities. ",black lives matter
1720,"He mourned the dead, touted his gun control and education proposals, and that was it.",gun control
1721,"At least Morrissey, who stepped into his son’s life after an unexpected pregnancy, chose life — unlike Northam, who supports late-term abortion and advocates for killing unwanted children after failed abortions.",abortion
1722,"Finally, he launched into a meandering rant about Biden, suggesting that under the Obama administration, nothing was done to fix policing in the United States. While the previous administration surely didn’t do enough, and Biden himself has contributed to the criminal justice problems in the country, Trump completely ignored the fact that the Obama Justice Department actually did take significant steps toward reform following the protests in Ferguson.",trump presidency
1723,"One of China’s richest men, the founder of the Alibaba retail chain, went further, pledging the personal donation of a million facemasks and 500,000 virus test kits to the United States.",vaccine
1724,"The No. 1 vaccine refusal hotspot is in New York, a new report from the Blue Cross Blue Shield Association finds.",vaccines
1725,"President Donald Trump said Friday he has drawn historic lessons from an unusual source, none other than Richard Nixon – but then he quickly argued he hasn't followed all the examples of the only U.S. president to be forced to resign his office.",trump presidency
1726,"If it was behind the Kolomna incident, it would be its closest attempted drone strike to the Russian capital.",international politics and world news
1727,"On 14 February, parents of students who had been taken ill had gathered outside Qom’s governorate to “demand an explanation” from the authorities, IRNA reported.",islam
1728,"The Clinton plan won’t work because it’s a progressive, liberal, quasi-socialist plan applied to something that should operate like a business within a free market",student debt
1729,"A group of people carrying a white nationalist flag were caught on camera Saturday attempting to record a video in front of the Emmett Till memorial in Sumner, Mississippi.",white nationalism
1730,"Donald Trump’s presidential campaign and many of his administration’s policies have played on the trope of threats posed by refugees, asylum seekers and other migrants.",immigration
1731,"President Donald Trump will be sending 150 federal law enforcement agents to Chicago this week through the Department of Homeland Security to assist in maintaining order in the city, over the objections of local Democrats.",gun control
1732,Russia President Vladimir Putin joked Wednesday that he is going to interfere in the 2020 presidential elections.,elections 2020
1733,"Police identified the shooter as Anthony Ferrill, 51, an employee of the brewery, who was believed to have acted alone.",gun control
1734,"While the majority of Americans seem to accept scientific information about the deadly coronavirus and are wary of reopening the country before we can be sure it’s safe, one segment of the population is driving the opposite narrative. This group is small but vocal, and represents a predictable if threatening merging of forces.",vaccines
1735,"They all swing radical left, they all pay homage to the identity politics pieties of the Social Justice movement, they all brutally enforced conformity on #MeToo, and now they’re doing the same with Black Lives Matter.",marriage equality
1736,"Like Donald Trump, Griffin's an obvious coward who wants to push violent rhetoric but isn't willing to face the consequences for doing so. ",gun control
1737,"Immigrant advocacy groups, noting that most of the affected countries are majority Muslim, said the current ban affects about 135 million people.",islam
1738,"Throughout the night, indeed the convention, the Democrats have appeared terrified that their constituents are too dumb to know how to vote or something. In any event, they have been yammering about it a lot.",vaccine
1739,"John Oliver admits he's scared of ""literally everything,"" but perhaps nothing more than parents-turned-activists seemingly hellbent on unleasing a new plague.",vaccines
1740,"The plastics industry, recently on its back foot over ocean pollution fears, has worked to turn the tide on plastic bag bans.",environment
1741,"The highest income 0.1% of households—those making more than $3 million annually—will get tax cuts to the tune of $198,000 if the law is completely overturned, the Tax Policy Center estimates. ",universal health care
1742,"In July 2019, the New York Times reported that the pilots that flew Epstein’s private planes – including to his island in the Caribbean – had released records of flight logs including names of those who had travelled on the planes ",#metoo
1743,"Nation of Islam leader Louis Farrakhan discouraged viewers from getting the coronavirus vaccine, implying that it was part of a government conspiracy meant to lower the Black population.",islam
1744,Fake Political Media Eager Partners in Joe Biden’s Fake Press Conference,gun control
1745,"Speaking about the ""Divine Nine"" — the nine black Greek fraternities and sororities — Biden told the crowd that he is ""not stupid,"" despite being white, because he knows where the ""power is.""",blm
1746,"By bringing BLM into the classroom, activist educators are allowing the most radically divisive movement in modern American history to warp children’s worldviews.",islam
1747,"Before President Donald Trump threatened to violently suppress demonstrations in memory of Floyd, before the spread of recording equipment let the world witness how U.S. police brutalize non-white bodies and before “I can’t breathe” became a global rallying cry challenging American cruelty and injustice, America tried to explain its racism to the world.",trump presidency
1748,The demonstrators were protesting against Japanese Prime Minister Abe Shinzo’s trade restrictions against South Korea and spotlighting the century-old dispute over Imperial Japan’s use of forced labor in Korea that underlies the current economic and diplomatic crisis.,international politics and world news
1749,U.S. President Donald Trump said on Sunday he would raise tariffs to 25 percent from 10 percent on $200 billion of Chinese goods.,taxes
1750,Bezos is merely the scam’s latest and most outrageously profligate useful idiot.,taxes
1751,"Friday, a legal services organization at Yale Law School sent a letter to the high court urging that the administration's decision to terminate DACA should be blocked in light of the pandemic.",immigration
1752,In every case legislators are being swarmed by right-wing activists who don’t hesitate to use deceit and hysteria to stop Equal Rights Amendment (ERA) ratification from happening.,gender
1753,Legions of white people are kneeling to ask forgiveness for something they had no part of.,marriage equality
1754,"NBC cited Center for Countering Digital Hate, a group claiming to fight “hate and misinformation” online.",islam
1755,Last week Trump posited in an interview that Iran had been poised to attack four American embassies before Soleimani was killed in a U.S. drone strike on Jan. 3.,blm
1756,The 1619 Project simply spreads an intellectual veneer onto the hatred and bigotry of her sophomore musings.,marriage equality
1757,"But so many anti-vaxxers add selfishness to their faults and put innocent children, who because of age or immune system deficiencies cannot be vaccinated, in danger.",vaccines
1758,"Calls for the removal of these monuments, which came on the back of massive Black Lives Matter protests earlier this month and subsequent efforts by some local governments to reform their police forces, were sparked by the May 25 death of George Floyd, a Black man killed in police custody.",black lives matter
1759,"The unemployment tax rate in Florida is already the lowest in the nation, at $50 per person per year. ",taxes
1760,"At its core, a complicated set of welfare programs and tax breaks generate sizable incentives for many low-income Americans not to increase their incomes and improve their station in life.",taxes
1761,"Demagogue that he is and that he’s toyed with becoming since well before he ran for president, Donald Trump used his June 2 rant against looting and thuggery after George Floyd’s murder to bang the drum for a civil war that he’s been toying with starting ever since he took out full-page newspaper ads in 1989, calling for the death penalty and greater police presence even after the charges against young black men in the Central Park jogger attack were soon found to be  baseless.",marriage equality
1762,"In practical terms, Trump wants to make the transition from dramatically curtailing refugee admissions to effectively ending refugee admissions.",immigration
1763,"Looking around the United States, there is never enough welfare for the left to stop killing developing humans in utero—solidly Democratic states lead the nation in abortion rates. ",abortion
1764,"Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated, Dart told WBBM-TV.",vaccines
1765,"While most national attention has been focused on massive demonstrations and violent clashes with police in the United States’ biggest cities like New York and Los Angeles, hundreds of spontaneous demonstrations have popped up in little towns and rural areas across the nation in recent days.",blm
1766,"California Governor Gavin Newsom said on Monday he would ease the state’s stay-at-home orders by Thursday, expanding the number of retail businesses that can provide curbside services.",vaccine
1767,"As the president spoke about doing “a lot” to address gun violence, while also emphasizing mental health, it was hard not to think of one of the first bills Trump signed into law.",gun control
1768,"She also said she has voted to expand the rights of same-sex couples by taking their side on laws affecting estates, adoption rights and conversion therapy.",marriage equality
1769,"While the announcement identifies cases of alleged police misconduct, it does not mention violence accompanying the protests over Floyd’s death that the Foundation is now backing.",marriage equality
1770,"Donald Trump has taken heat for mostly refusing to mask up while performing his duties. This left the Biden camp with a choice to make when Joe woke up from political hibernation, and they went all in.",elections 2020
1771,Joe Biden visited a Black Lives Matter protest site in Delaware as Trump rages on Twitter against demonstrators,blm
1772,"The U.S. Congress was wrestling with healthcare again on Tuesday, as lawmakers from both parties considered some approaches beyond simply repealing and replacing Obamacare.",universal health care
1773,"The final part of the Biden plan is to un-muzzle the experts, but disease experts have dominated the White House response from the start, with Dr. Anthony Fauci even fashioning himself into a grotesque pop culture icon.",vaccine
1774,Anmarie Calgaro argues that her 17-year-old transgender child received gender-affirming medical care without her parental consent.,abortion
1775,Nor do Americans appreciate folks who wax eloquently about human dignity and rights while endorsing the murdering of American children in the womb.,islam
1776,"While, in the wake of the El Paso murders, the media and most of our politicians are acting shocked—“shocked, I tell you!”—that there are armed racists in America who are trying to terrify people of color, the reality is that it’s pretty much always been that way here in the United States.",gun control
1777,"More than two decades after the end of white minority rule, South Africa remains one of the most unequal countries in the world, according to the World Bank, with urban areas starkly divided along racial lines.",blm
1778,Putin said last month Russia would not legalize gay marriage would not let the traditional notion of a mother and father be subverted by what he called “parent number 1” and “parent number 2” as long as he was in the Kremlin.,international politics and world news
1779,"The Central Intelligence Agency and another prominent US federal agency still remain undecided about the origins of Covid-19, while the National Intelligence Council and four other agencies have concluded that the virus originated in animals, the Wall Street Journal reported this week.",coronavirus
1780,"In response to Hawley’s criticisms, Sargent went to his blog Monday night to accuse Hawley of racialist dog-whistles.",white nationalism
1781,"In addition to flash-bang devices, police also used “pepper balls deployed into the ground and a burst of pepper spray” against the protesters, the department statement said, adding that no arrests were made.",blm
1782,"Biel is merely the latest Hollywood celebrity to lend their support to the controversial anti-vaccine movement, which has been outright rejected and criticized by the scientific community.",vaccines
1783,"The irony, of course, is that the exhibit that invites people to throw trash at vacuuming Ivanka Trump lookalike reflects every stereotype feminists claim to stand against, oversexualizing Ivanka’s body and ignoring her hard work.",gender
1784,"The two men are known to be friendly and frequently golf together at Mar-a-lago. But apart from their friendship, Trump should feel a great bond with Limbaugh. After all, without his three decades of on-air bombast, bluster, and fearless defense of his audience, there likely would not be a President Trump.",trump presidency
1785,"Biden’s appearance was a contrast with the approach of Republican President Donald Trump, who has made no major public statement to address the growing crisis but issued tweets as he remained out of sight in the White House.",elections 2020
1786,Her call for a Green New Deal -- which would seek to focus on income inequality and climate change by funding a host of radical ideas on liberal wish-lists and overhaul the nation's energy sector -- has been embraced by a number of 2020 hopefuls already.,middle class
1787,Our politics (are) poisoned by the demagogues who speak of immigrants as ‘invaders’ and warn of catastrophe if we don’t close our border.,immigration
1788,"This helps cultivate a sense of resilience, allowing her to focus on small steps she can take rather than becoming overwhelmed by the scope of the problem.",environment
1789,"This paranoia echoes the claims by Mark and Patricia McCloskey, the St. Louis couple who threatened to shoot Black Lives Matter protesters who were walking by their house earlier this month.",black lives matter
1790,"The issue ignited in 2014 with the shooting death of black 18-year-old Michael Brown by a white police officer in Ferguson, Missouri, which triggered angry protests.",black lives matter
1791,"USA Today Sports published a broadside against youth tackle football, claiming that the sport is just too dangerous for children.",sport
1792,"However, this intentionally cruel right-wing political maneuver is so unpopular -- especially today -- that there was no trumpeting of the legal filing by the White House to strike Obamacare. ",universal health care
